400121514720,0,0,53,152,324,385.39,971.29,1701.92
400017729088,0,7,23,232,552,117.00,1129.67,2795.57
400017737920,0,0,88,266,775,350.11,1103.23,3397.98
400017718048,1,15,101,590,1080,743.51,4485.54,6669.12
400017719612,0,10,44,196,674,185.32,508.46,1391.40
400017739760,0,5,82,302,734,352.54,1123.38,2712.28
400017735988,0,2,8,46,88,45.39,242.66,387.61
400011534677,0,2,69,116,440,250.35,1035.31,2818.79
400017719704,0,1,179,347,1097,844.23,1919.92,5366.17
400001445547,0,0,191,500,1067,462.23,1153.42,2818.52
400017726972,1,131,,,381,,,1635.15
400017716484,0,1,158,470,1405,733.05,2414.17,6947.25
400017719980,0,3,69,258,555,293.60,1212.53,2700.08
400017697883,0,1,70,238,558,342.18,1021.56,2316.01
400014530335,1,42,,59,252,,160.21,914.39
400017743992,0,7,87,327,853,180.44,1540.01,2303.47
400121474591,1,219,,,27,,,112.31
400017712327,0,0,192,561,1479,581.34,1732.97,5007.95
400121528612,1,339,,,30,,,101.72
400017719336,0,9,51,144,451,497.25,463.95,1492.91
400017746016,0,0,174,438,643,767.36,1827.26,2565.73
400017741968,1,337,,,17,,,46.50
400017743164,0,1,62,122,478,313.01,555.34,2089.23
400121529716,1,333,,,58,,,180.98
400017731572,1,55,,22,51,,79.52,233.61
400017743716,1,333,,,58,,,161.81
400011997372,1,9,8,25,60,61.72,158.63,303.33
400121531280,1,339,,,11,,,21.34
400121529624,1,339,,,9,,,33.67
400121531096,0,5,8,42,100,47.26,231.26,462.10
400121528520,1,339,,,13,,,35.50
400121428206,0,53,,457,1394,,2009.55,6527.56
400017733320,1,16,9,61,387,29.23,206.70,1549.88
400017733504,0,0,140,198,761,483.38,769.83,3079.30
400017743624,1,339,,,4,,,16.78
400017744636,1,334,,,37,,,173.98
400017739300,1,334,,,37,,,125.93
400121528704,1,339,,,3,,,13.92
400017714167,1,223,,,164,,,959.94
400017730376,1,31,,124,176,,446.82,588.46
400017701839,0,1,114,282,471,422.18,1070.58,2288.38
400017742060,0,1,92,204,448,230.67,1328.12,1331.06
400017747304,0,154,,,232,,,1033.68
400017713615,0,8,105,353,1306,360.15,1163.91,4357.81
400017686935,1,5,13,13,174,33.91,89.36,761.80
400017742888,0,5,121,371,1076,519.44,1258.72,3672.87
400017711499,0,0,153,395,1310,604.08,1498.25,5185.00
400017718324,1,36,,19,114,,70.51,314.40
400017708739,0,2,4,33,96,17.71,108.71,409.82
400017271729,0,5,23,23,135,167.98,168.98,867.71
400017738012,0,19,35,145,206,152.96,536.80,857.92
400017714903,1,20,14,10,124,62.59,32.42,495.11
400017708463,0,0,134,343,827,814.77,2195.43,5206.22
400017708187,1,39,,11,61,,53.72,192.36
400017735896,1,153,,,155,,,546.80
400017710763,0,2,46,166,238,269.93,821.34,1217.12
400017711867,0,15,25,134,483,437.34,1428.61,2882.91
400014834388,0,3,21,27,63,64.57,103.43,215.94
400121521068,1,133,,,52,,,176.66
400017735712,1,0,25,9,118,69.38,35.90,286.06
400017691259,1,116,,26,104,,101.03,463.20
400011489580,0,1,11,,10,1477.98,,183.17
