"","rules","support","confidence","lift"
"1","{TH STRWBRY KIWI LEMONADE} => {TURKEY HILL DIET GREEN TEA}",0.00100874243443174,1,330.444444444444
"2","{PA DUTCH EXTRA BROAD} => {DONUTS}",0.00100874243443174,1,23.9838709677419
"3","{REAL SUGAR CHERRY PEPSI 12PK} => {MT DEW FM 12 PK}",0.00100874243443174,1,90.1212121212121
"4","{REAL SUGAR CHERRY PEPSI 12PK} => {PEPSI FM 12 PK}",0.00100874243443174,1,63.2765957446809
"5","{LIPTON W/LEMON} => {LIPTON W/PEACH}",0.00100874243443174,1,297.4
"6","{RICE-A-RONI FRIED RICE} => {RICE-A-RONI CHICKEN}",0.00100874243443174,1,297.4
"7","{JJ PIES SS CHERRY} => {JJ PIES SS APPLE}",0.00100874243443174,1,371.75
"8","{GRB 2ND APPLESAUCE} => {GRB 2ND BANANA}",0.00100874243443174,1,594.8
"9","{KASHI PEANUT BUTTER BAR} => {KASHI HONEY ALMOND FLAX BAR}",0.00100874243443174,1,991.333333333333
"11","{BB TURKEY SMK SAUSAGE} => {BB TURKEY KIELBASA}",0.00100874243443174,1,743.5
"13","{SIMPLY LEMONADE W/RASP} => {SIMPLY LEMONADE}",0.00134498991257566,1,148.7
"15","{SPARKLING ICE ORANGE MANGO} => {SPARKLING ICE LEMONADE}",0.00100874243443174,1,991.333333333333
"17","{ALPO PRIME CUT LNDN GR} => {ALPO PRIME CUTS BEEF}",0.00100874243443174,1,991.333333333333
"19","{ALPO PRIME CUT LNDN GR} => {ALPO CH HOUSE GRVY TBNE}",0.00100874243443174,1,743.5
"20","{ALPO PRIME CUT LNDN GR} => {ALPO CH HOUSE RSTR CKN}",0.00100874243443174,1,594.8
"21","{ALPO PRIME CUTS BEEF} => {ALPO CH HOUSE GRVY TBNE}",0.00100874243443174,1,743.5
"22","{ALPO PRIME CUTS BEEF} => {ALPO CH HOUSE RSTR CKN}",0.00100874243443174,1,594.8
"23","{CESAR SEL PTRHOUSE STK} => {CESAR GRMT PRIME RIB}",0.00100874243443174,1,991.333333333333
"25","{ALPO CH HOUSE GRVY TBNE} => {ALPO CH HOUSE RSTR CKN}",0.00134498991257566,1,594.8
"28","{HABANERO PEPPER} => {JALAPENO PEPPERS}",0.00100874243443174,1,141.619047619048
"29","{LC FLATBRD CHKN RANCH} => {LC PHILLY STEAK PANINI}",0.00134498991257566,1,297.4
"30","{SELTZER SWT LEBANON} => {BANANAS}",0.00100874243443174,1,5.60075329566855
"31","{TRESEMME STY MOUSSE CURL CARE} => {BANANAS}",0.00100874243443174,1,5.60075329566855
"32","{R-A-RONI BROC AU GRATN} => {RICE-A-RONI CHICKEN}",0.00100874243443174,1,297.4
"35","{ZL EASY ZIPR QT STG BG} => {BANANAS}",0.00100874243443174,1,5.60075329566855
"36","{SHARK BITES FRT SHAPES} => {SCOOBY DOO FRUIT SNAKS}",0.00100874243443174,1,424.857142857143
"37","{GM CHEERIO CUP} => {BANANAS}",0.00100874243443174,1,5.60075329566855
